Player,Season,MPPG,Outcome
Elton Brand,2010-11,34.679,Successful
Kobe Bryant,2009-10,38.836,Successful
Vince Carter,2004-05,36.727,Successful
Tyson Chandler,2010-11,27.824,Successful
Al Horford,2015-16,32.085,Successful
Serge Ibaka,2012-13,31.075,Successful
DeAndre Jordan,2017-18,31.481,Successful
Otto Porter,2016-17,32.563,Successful
Tayshaun Prince,2004-05,37.061,Successful
Russell Westbrook,2010-11,34.72,Successful
LaMarcus Aldridge,2018-19,33.173,Successful
Mike Bibby,2003-04,36.341,Successful
Vince Carter,2005-06,36.785,Successful
Tyson Chandler,2012-13,32.788,Successful
Rudy Gobert,2014-15,26.317,Successful
James Harden,2011-12,31.387,Successful
Nene Hilario,2008-09,32.597,Successful
Jason Kidd,2006-07,36.663,Successful
Mehmet Okur,2005-06,35.915,Successful
Tony Parker,2012-13,32.939,Successful
Pascal Siakam,2018-19,31.85,Successful
Josh Smith,2009-10,35.444,Successful
Paul George,2015-16,34.802,Successful
Blake Griffin,2011-12,36.242,Successful
Udonis Haslem,2004-05,33.438,Successful
Andre Iguodala,2008-09,39.866,Successful
Antawn Jamison,2007-08,38.747,Successful
Damian Lillard,2015-16,35.68,Successful
Lamar Odom,2005-06,40.263,Successful
Ben Simmons,2017-18,33.728,Successful
Steven Adams,2018-19,33.363,Successful
Shane Battier,2005-06,35.049,Successful
Jimmy Butler,2015-16,36.925,Successful
Stephen Curry,2017-18,31.98,Successful
Manu Ginobili,2003-04,29.351,Successful
Kyrie Irving,2018-19,33.045,Successful
Eddie Jones,2003-04,37.012,Successful
David Lee,2012-13,36.797,Successful
Stephon Marbury,2003-04,40.173,Successful
Shawn Marion,2003-04,40.722,Successful
Brad Miller,2005-06,37,Successful
Brandon Roy,2009-10,37.215,Successful
David West,2012-13,33.356,Successful
Shane Battier,2006-07,36.439,Successful
Chris Bosh,2012-13,33.162,Successful
Jimmy Butler,2019-20,33.776,Successful
DeMar DeRozan,2016-17,35.405,Successful
Monta Ellis,2007-08,37.914,Successful
Kevin Garnett,2010-11,31.268,Successful
Paul George,2012-13,37.62,Successful
Blake Griffin,2014-15,35.164,Successful
Allen Iverson,2004-05,42.32,Successful
Antawn Jamison,2003-04,28.976,Successful
David Lee,2008-09,34.864,Successful
Brook Lopez,2012-13,30.446,Successful
Joakim Noah,2011-12,30.391,Successful
Jermaine O'Neal,2003-04,35.744,Successful
Hedo Turkoglu,2007-08,36.902,Successful
Ryan Anderson,2011-12,32.197,Successful
Jimmy Butler,2017-18,36.678,Successful
Erick Dampier,2003-04,32.473,Successful
Boris Diaw,2005-06,35.481,Successful
Paul George,2017-18,36.595,Successful
Gordon Hayward,2015-16,36.163,Successful
Kyrie Irving,2016-17,35.069,Successful
Kyrie Irving,2017-18,32.183,Successful
Jason Kidd,2009-10,36.013,Successful
Reggie Miller,2003-04,28.175,Successful
Chris Paul,2019-20,31.543,Successful
Rasheed Wallace,2005-06,34.75,Successful
LaMarcus Aldridge,2009-10,37.462,Successful
DeMar DeRozan,2013-14,38.19,Successful
Luka Doncic,2019-20,33.557,Successful
Manu Ginobili,2005-06,27.892,Successful
Al Horford,2012-13,37.243,Successful
Josh Howard,2006-07,35.071,Successful
Andre Miller,2003-04,34.61,Successful
Andre Miller,2008-09,36.293,Successful
Steve Nash,2003-04,33.487,Successful
Mehmet Okur,2006-07,33.3,Successful
Chris Paul,2006-07,36.766,Successful
Klay Thompson,2014-15,31.883,Successful
Dwyane Wade,2006-07,37.863,Successful
John Wall,2016-17,36.359,Successful
Baron Davis,2007-08,38.976,Successful
Joel Embiid,2018-19,33.656,Successful
Montrezl Harrell,2018-19,26.317,Successful
Gordon Hayward,2014-15,34.447,Successful
Al Horford,2014-15,30.5,Successful
Zydrunas Ilgauskas,2005-06,29.269,Successful
Damon Jones,2004-05,31.415,Successful
Kawhi Leonard,2019-20,32.421,Successful
Kevin Love,2014-15,33.76,Successful
Tristan Thompson,2015-16,27.671,Successful
LaMarcus Aldridge,2014-15,35.38,Successful
Ben Gordon,2006-07,32.976,Successful
Marcin Gortat,2014-15,29.915,Successful
Dwight Howard,2005-06,36.841,Successful
Kawhi Leonard,2014-15,31.766,Successful
Corey Maggette,2003-04,36,Successful
Tracy McGrady,2006-07,35.761,Successful
Brad Miller,2004-05,37.304,Successful
Yao Ming,2005-06,34.193,Successful
Tony Parker,2008-09,34.111,Successful
Luis Scola,2008-09,30.341,Successful
Jason Terry,2007-08,31.451,Successful
Kemba Walker,2017-18,34.2,Successful
Bam Adebayo,2019-20,33.569,Successful
Bradley Beal,2016-17,34.857,Successful
Mike Bibby,2004-05,38.55,Successful
Marcus Camby,2007-08,34.911,Successful
Mike Dunleavy,2007-08,36.012,Successful
Drew Gooden,2004-05,30.768,Successful
Draymond Green,2014-15,31.519,Successful
Jason Kidd,2008-09,35.63,Successful
Kevin Love,2015-16,31.481,Successful
Troy Murphy,2008-09,34,Successful
Jason Terry,2004-05,30.013,Successful
Ben Wallace,2004-05,36.095,Successful
Hassan Whiteside,2019-20,29.97,Successful
Mike Bibby,2005-06,38.622,Successful
Marc Gasol,2009-10,35.783,Successful
Pau Gasol,2007-08,35.621,Successful
Joe Johnson,2009-10,37.974,Successful
Rashard Lewis,2004-05,37.986,Successful
Kevin Martin,2007-08,36.328,Successful
Tracy McGrady,2003-04,39.925,Successful
Lamar Odom,2003-04,37.538,Successful
David West,2007-08,37.763,Successful
Deron Williams,2008-09,36.838,Successful
Tyson Chandler,2004-05,27.363,Successful
Tim Duncan,2012-13,30.116,Successful
Derrick Favors,2014-15,30.811,Successful
Jeff Foster,2003-04,23.915,Not Successful
Pau Gasol,2011-12,37.385,Successful
Dwight Howard,2016-17,29.716,Successful
Rashard Lewis,2005-06,36.872,Successful
Andre Miller,2007-08,36.78,Successful
Paul Millsap,2014-15,32.74,Successful
Yao Ming,2007-08,37.164,Successful
Paul Pierce,2009-10,33.958,Successful
Karl-Anthony Towns,2015-16,32.037,Successful
Jarrett Allen,2019-20,26.457,Successful
Carmelo Anthony,2007-08,36.442,Successful
Leandro Barbosa,2006-07,32.663,Successful
Shane Battier,2007-08,36.338,Successful
Eric Bledsoe,2018-19,29.128,Successful
Mike Conley,2013-14,33.507,Successful
Danilo Gallinari,2018-19,30.279,Successful
Marc Gasol,2011-12,36.462,Successful
Draymond Green,2016-17,32.513,Successful
Antawn Jamison,2005-06,40.098,Successful
Wesley Matthews,2013-14,33.902,Successful
Emeka Okafor,2008-09,32.817,Successful
Victor Oladipo,2017-18,34.027,Successful
Tony Parker,2010-11,32.41,Successful
Ben Simmons,2018-19,34.177,Successful
Tiago Splitter,2012-13,24.654,Successful
Jonas Valanciunas,2014-15,26.2,Successful
Ben Wallace,2006-07,35.026,Successful
Shareef Abdur-Rahim,2003-04,31.576,Successful
PJ Brown,2003-04,34.413,Successful
Kobe Bryant,2004-05,40.742,Successful
Pau Gasol,2003-04,31.513,Successful
Rudy Gobert,2017-18,32.429,Successful
Marcin Gortat,2013-14,32.778,Successful
Richard Hamilton,2003-04,35.538,Successful
Richard Hamilton,2006-07,36.84,Successful
Zydrunas Ilgauskas,2004-05,33.526,Successful
Antawn Jamison,2008-09,38.222,Successful
Enes Kanter,2015-16,20.988,Not Successful
Corey Maggette,2004-05,36.909,Successful
Tony Parker,2004-05,34.188,Successful
Gary Payton,2003-04,34.451,Successful
Otto Porter,2017-18,31.584,Successful
Peja Stojakovic,2007-08,35.208,Successful
Jeff Teague,2016-17,32.402,Successful
Anderson Varejao,2009-10,28.5,Successful
Kemba Walker,2016-17,34.671,Successful
David West,2013-14,30.9,Successful
Trevor Ariza,2013-14,35.364,Successful
Andris Biedrins,2007-08,27.342,Successful
Chauncey Billups,2010-11,32.083,Successful
Chris Bosh,2013-14,32.038,Successful
Andrew Bynum,2011-12,35.2,Successful
Mike Conley,2018-19,33.457,Successful
Derrick Favors,2017-18,27.961,Successful
Danny Granger,2008-09,36.179,Successful
Blake Griffin,2018-19,34.96,Successful
Dwight Howard,2013-14,33.746,Successful
Josh Howard,2007-08,36.276,Successful
Eddie Jones,2004-05,35.488,Successful
Tayshaun Prince,2006-07,36.598,Successful
Brandon Roy,2007-08,37.73,Successful
Peja Stojakovic,2005-06,36.634,Successful
Amar'e Stoudemire,2010-11,36.795,Successful
Wally Szczerbiak,2005-06,37.903,Successful
Klay Thompson,2015-16,33.325,Successful
Myles Turner,2016-17,31.37,Successful
Anderson Varejao,2008-09,28.469,Successful
Metta World Peace,2003-04,37.178,Successful
Ray Allen,2009-10,35.238,Successful
Carmelo Anthony,2009-10,38.174,Successful
Carmelo Anthony,2010-11,35.727,Successful
Nicolas Batum,2013-14,36.049,Successful
Jimmy Butler,2018-19,33.615,Successful
Tyson Chandler,2006-07,34.589,Successful
DeMarcus Cousins,2013-14,32.366,Successful
Kevin Durant,2008-09,38.986,Successful
Derrick Favors,2018-19,23.237,Not Successful
Marc Gasol,2010-11,31.926,Successful
Andrei Kirilenko,2005-06,37.739,Successful
Brook Lopez,2009-10,36.915,Successful
Khris Middleton,2019-20,29.887,Successful
Steve Nash,2010-11,33.293,Successful
Zach Randolph,2012-13,34.303,Successful
Jonas Valanciunas,2016-17,25.825,Successful
John Wall,2013-14,36.341,Successful
Russell Westbrook,2011-12,35.318,Successful
Shane Battier,2004-05,31.45,Successful
Ronnie Brewer,2007-08,27.474,Successful
Andrew Bynum,2009-10,30.415,Successful
Kenneth Faried,2012-13,28.1,Successful
Danny Green,2014-15,28.543,Successful
George Hill,2013-14,32.026,Successful
Al Horford,2017-18,31.625,Successful
Zydrunas Ilgauskas,2003-04,31.346,Successful
Al Jefferson,2010-11,35.854,Successful
Al Jefferson,2013-14,34.973,Successful
Paul Millsap,2011-12,32.813,Successful
Troy Murphy,2009-10,32.556,Successful
Jusuf Nurkic,2018-19,27.417,Successful
Shaquille O'Neal,2008-09,30.027,Successful
John Wall,2014-15,35.911,Successful
David West,2008-09,39.237,Successful
David West,2010-11,35.014,Successful
Marvin Williams,2015-16,28.864,Successful
Vince Carter,2007-08,38.934,Successful
Andre Drummond,2014-15,30.512,Successful
Tim Duncan,2010-11,28.368,Successful
Marc Gasol,2016-17,34.203,Successful
Blake Griffin,2016-17,34.033,Successful
Richard Hamilton,2007-08,33.667,Successful
Dwight Howard,2011-12,38.333,Successful
Larry Hughes,2004-05,38.656,Successful
Andre Iguodala,2006-07,40.289,Successful
Al Jefferson,2007-08,35.598,Successful
Al Jefferson,2012-13,33.051,Successful
Carl Landry,2009-10,30.863,Successful
Mehmet Okur,2008-09,33.458,Successful
Kawhi Leonard,2013-14,29.136,Successful
Paul Millsap,2008-09,30.132,Successful
Paul Millsap,2010-11,34.276,Successful
Lamar Odom,2009-10,31.524,Successful
Jeff Teague,2014-15,30.521,Successful
Isaiah Thomas,2013-14,34.681,Successful
Dwyane Wade,2011-12,33.163,Successful
Gerald Wallace,2006-07,36.667,Successful
Jarrett Allen,2018-19,26.2,Successful
Bradley Beal,2018-19,36.927,Successful
Carlos Boozer,2011-12,29.515,Successful
Marcus Camby,2006-07,33.843,Successful
Sam Cassell,2005-06,34.013,Successful
Josh Childress,2007-08,29.921,Successful
Darren Collison,2017-18,29.246,Successful
DeMarcus Cousins,2016-17,34.236,Successful
Michael Finley,2003-04,38.583,Successful
Marcin Gortat,2011-12,32.03,Successful
Richard Hamilton,2005-06,35.313,Successful
Kirk Hinrich,2005-06,36.481,Successful
Dwight Howard,2012-13,35.816,Successful
Serge Ibaka,2010-11,27.024,Successful
Joe Ingles,2017-18,31.439,Successful
Mike James,2005-06,37.025,Successful
Richard Jefferson,2007-08,39.024,Successful
Joe Johnson,2004-05,39.512,Successful
Joe Johnson,2008-09,39.544,Successful
Enes Kanter,2017-18,25.775,Successful
Kerry Kittles,2003-04,34.659,Successful
David Lee,2013-14,33.159,Successful
Rashard Lewis,2006-07,39.133,Successful
Jamaal Magloire,2003-04,33.866,Successful
CJ McCollum,2016-17,34.95,Successful
Paul Millsap,2012-13,30.449,Successful
Cuttino Mobley,2003-04,40.363,Successful
Dirk Nowitzki,2011-12,33.532,Successful
Chandler Parsons,2013-14,37.608,Successful
Domantas Sabonis,2018-19,24.838,Successful
Hedo Turkoglu,2005-06,33.526,Successful
Jonas Valanciunas,2017-18,22.429,Not Successful
Rasheed Wallace,2007-08,30.468,Successful
LaMarcus Aldridge,2013-14,36.203,Successful
Andrew Bogut,2009-10,32.304,Successful
Devin Booker,2019-20,35.886,Successful
Jose Calderon,2008-09,34.309,Successful
Vince Carter,2008-09,36.825,Successful
Baron Davis,2003-04,40.09,Successful
Goran Dragic,2016-17,33.685,Successful
Devin Harris,2008-09,36.145,Successful
Al Horford,2018-19,29.015,Successful
Andre Iguodala,2005-06,37.634,Successful
Al Jefferson,2011-12,34.016,Successful
Kyle Korver,2014-15,32.24,Successful
Raef LaFrentz,2004-05,27.45,Successful
Kyle Lowry,2019-20,36.172,Successful
Greg Monroe,2015-16,29.291,Successful
Tony Parker,2003-04,34.36,Successful
Dwight Powell,2018-19,21.584,Not Successful
Tayshaun Prince,2003-04,32.939,Successful
Tayshaun Prince,2007-08,32.854,Successful
Domantas Sabonis,2019-20,34.823,Successful
David West,2009-10,36.407,Successful
Jose Calderon,2012-13,29.589,Successful
Vince Carter,2009-10,30.8,Successful
Andre Drummond,2015-16,32.914,Successful
Tim Duncan,2013-14,29.162,Successful
Richard Hamilton,2004-05,38.5,Successful
Ty Lawson,2012-13,34.425,Successful
David Lee,2007-08,29.086,Successful
Shawn Marion,2007-08,36.746,Successful
Mike Miller,2005-06,30.649,Successful
Yao Ming,2006-07,33.833,Successful
Jason Richardson,2007-08,38.402,Successful
Lance Stephenson,2013-14,35.282,Successful
Kemba Walker,2018-19,34.915,Successful
