Player,Season,MPPG,Outcome
Josh Boone,2009-10,16.587,Not Successful
Avery Bradley,2013-14,30.917,Successful
Caron Butler,2013-14,25.339,Successful
Jose Calderon,2017-18,16.035,Not Successful
Kentavious Caldwell-Pope,2013-14,19.788,Not Successful
Anthony Carter,2008-09,22.91,Not Successful
Jevon Carter,2019-20,16.293,Not Successful
Vince Carter,2015-16,16.75,Not Successful
Sam Cassell,2007-08,23.164,Not Successful
Marquese Chriss,2016-17,21.256,Not Successful
Jordan Clarkson,2018-19,27.333,Successful
Brian Cook,2006-07,15.662,Not Successful
Quinn Cook,2018-19,14.311,Not Successful
Jared Dudley,2016-17,21.281,Not Successful
Jared Dudley,2018-19,20.678,Not Successful
Francisco Elson,2003-04,14.113,Not Successful
Francisco Elson,2008-09,16.559,Not Successful
Jordan Farmar,2011-12,21.308,Not Successful
Yogi Ferrell,2016-17,26.022,Successful
Dan Gadzuric,2008-09,14.045,Not Successful
Francisco Garcia,2013-14,19.691,Not Successful
Rudy Gay,2016-17,33.767,Successful
Drew Gooden,2010-11,24.571,Successful
Treveon Graham,2017-18,16.667,Not Successful
Willie Green,2010-11,21.74,Not Successful
Rui Hachimura,2019-20,30.083,Successful
Richard Hamilton,2010-11,27.236,Successful
Zendon Hamilton,2003-04,10.283,Not Successful
Tim Hardaway,2018-19,31.646,Successful
Juan Hernangomez,2016-17,13.581,Not Successful
Willy Hernangomez,2017-18,10.313,Not Successful
Roy Hibbert,2016-17,14.208,Not Successful
JJ Hickson,2014-15,19.329,Not Successful
Jordan Hill,2010-11,15.625,Not Successful
Kirk Hinrich,2011-12,25.771,Successful
Ryan Hollins,2010-11,16.886,Not Successful
Eddie House,2004-05,13.103,Not Successful
Larry Hughes,2005-06,35.583,Successful
Larry Hughes,2007-08,29.706,Successful
Kris Humphries,2007-08,13.214,Not Successful
Stanley Johnson,2017-18,27.449,Successful
Dahntay Jones,2009-10,24.895,Successful
Frank Kaminsky,2018-19,16.064,Not Successful
Brevin Knight,2006-07,28.289,Successful
Caris LeVert,2016-17,21.702,Not Successful
Shaun Livingston,2017-18,15.901,Not Successful
Ian Mahinmi,2010-11,8.714,Not Successful
Boban Marjanovic,2019-20,9.591,Not Successful
Jason Maxiell,2006-07,14.075,Not Successful
Jason Maxiell,2012-13,24.847,Successful
CJ McCollum,2014-15,15.694,Not Successful
Nicolo Melli,2019-20,17.367,Not Successful
Mike Miller,2011-12,19.282,Not Successful
E'Twaun Moore,2015-16,21.407,Not Successful
Marcus Morris,2012-13,19.792,Not Successful
Ronald Murray,2009-10,22.307,Not Successful
Raul Neto,2015-16,18.506,Not Successful
Georges Niang,2019-20,13.985,Not Successful
Scott Padgett,2005-06,11.581,Not Successful
Brian Roberts,2014-15,18.472,Not Successful
Nate Robinson,2013-14,19.682,Not Successful
D'Angelo Russell,2019-20,32.267,Successful
Thabo Sefolosha,2011-12,21.762,Not Successful
Jason Smith,2015-16,15.539,Not Successful
Steven Smith,2004-05,15,Not Successful
Marreese Speights,2015-16,11.556,Not Successful
Lance Stephenson,2017-18,22.561,Not Successful
DeShawn Stevenson,2010-11,16.083,Not Successful
Tyrus Thomas,2010-11,21,Not Successful
Robert Traylor,2004-05,17.932,Not Successful
Jacque Vaughn,2004-05,19.859,Not Successful
Noah Vonleh,2016-17,17.095,Not Successful
Nikola Vucevic,2011-12,15.922,Not Successful
Sasha Vujacic,2006-07,12.808,Not Successful
Earl Watson,2003-04,20.605,Not Successful
Martell Webster,2010-11,23.783,Not Successful
DJ White,2010-11,14.574,Not Successful
Rodney White,2003-04,13.681,Not Successful
Derrick Williams,2011-12,21.485,Not Successful
Mo Williams,2012-13,30.826,Successful
Jeff Withey,2013-14,11.793,Not Successful
Jeff Withey,2016-17,8.471,Not Successful
Quincy Acy,2014-15,18.926,Not Successful
Lavoy Allen,2016-17,14.279,Not Successful
Tony Allen,2005-06,19.176,Not Successful
Alan Anderson,2013-14,22.731,Not Successful
Shandon Anderson,2003-04,24.675,Successful
Joel Anthony,2008-09,16.123,Not Successful
Carlos Arroyo,2010-11,18.516,Not Successful
Darrell Arthur,2008-09,19.263,Not Successful
Darrell Arthur,2012-13,16.441,Not Successful
Omer Asik,2015-16,17.324,Not Successful
Mohamed Bamba,2018-19,16.298,Not Successful
Leandro Barbosa,2011-12,21.594,Not Successful
Michael Beasley,2010-11,32.342,Successful
Raja Bell,2010-11,30.838,Successful
Chauncey Billups,2011-12,30.35,Successful
Mark Blount,2005-06,27.654,Successful
Keith Bogans,2006-07,16.78,Not Successful
Andrew Bogut,2012-13,24.563,Successful
Josh Boone,2006-07,10.967,Not Successful
Ronnie Brewer,2006-07,12.054,Not Successful
Jon Brockman,2009-10,12.577,Not Successful
Devin Brown,2003-04,10.81,Not Successful
Alec Burks,2014-15,33.296,Successful
Rasual Butler,2004-05,18.508,Not Successful
Rasual Butler,2005-06,23.734,Not Successful
Will Bynum,2012-13,18.754,Not Successful
Brian Cardinal,2010-11,11.036,Not Successful
Eddy Curry,2007-08,25.932,Successful
Ed Davis,2016-17,17.152,Not Successful
Glen Davis,2011-12,23.393,Not Successful
Andrew DeClercq,2003-04,17.056,Not Successful
Dewayne Dedmon,2014-15,14.322,Not Successful
Juan Dixon,2006-07,23.778,Not Successful
Michael Doleac,2003-04,14.292,Not Successful
Howard Eisley,2003-04,21.746,Not Successful
Maurice Evans,2010-11,21.219,Not Successful
Reggie Evans,2003-04,17.067,Not Successful
Festus Ezeli,2014-15,10.957,Not Successful
Cristiano Felicio,2017-18,17.764,Not Successful
Raymond Felton,2011-12,31.767,Successful
Randy Foye,2010-11,24.619,Successful
Drew Gooden,2014-15,16.941,Not Successful
Ben Gordon,2010-11,25.988,Successful
Ben Gordon,2011-12,26.885,Successful
Jerian Grant,2018-19,15.65,Not Successful
Gerald Green,2015-16,22.565,Not Successful
Andrew Harrison,2017-18,23.679,Not Successful
Spencer Hawes,2016-17,14.759,Not Successful
Jarvis Hayes,2004-05,28.889,Successful
JJ Hickson,2011-12,23.037,Not Successful
Grant Hill,2005-06,29.19,Successful
Justin Holiday,2017-18,31.458,Successful
Ryan Hollins,2012-13,11.05,Not Successful
Wesley Iwundu,2019-20,18.327,Not Successful
Jared Jeffries,2011-12,18.692,Not Successful
John Jenkins,2012-13,14.787,Not Successful
Brandon Jennings,2016-17,22.247,Not Successful
Andrea Bargnani,2013-14,29.929,Successful
Wesley Johnson,2014-15,29.539,Successful
Wesley Johnson,2017-18,20.081,Not Successful
James Jones,2011-12,13.059,Not Successful
Enes Kanter,2011-12,13.242,Not Successful
Brandon Knight,2015-16,35.962,Successful
Brevin Knight,2003-04,18.518,Not Successful
Nenad Krstic,2008-09,24.804,Successful
Shane Larkin,2014-15,24.539,Successful
Damion Lee,2019-20,29.041,Successful
Caris LeVert,2018-19,26.575,Successful
Rashard Lewis,2013-14,16.183,Not Successful
Timothe Luwawu-Cabarrot,2019-20,18.149,Not Successful
Shawn Marion,2014-15,19.316,Not Successful
Boban Marjanovic,2016-17,8.371,Not Successful
Jason Maxiell,2011-12,22.554,Not Successful
Rashad McCants,2007-08,26.933,Successful
Patrick McCaw,2016-17,15.127,Not Successful
Dominic McGuire,2008-09,26.228,Successful
De'Anthony Melton,2019-20,19.45,Not Successful
E'Twaun Moore,2013-14,19.063,Not Successful
E'Twaun Moore,2018-19,27.604,Successful
Markieff Morris,2012-13,22.402,Not Successful
Anthony Morrow,2011-12,26.387,Successful
Arnett Moultrie,2012-13,11.532,Not Successful
Troy Murphy,2011-12,16.203,Not Successful
Ronald Murray,2003-04,24.646,Successful
Bostjan Nachbar,2004-05,18.887,Not Successful
Shabazz Napier,2019-20,24,Successful
Andrew Nicholson,2012-13,16.653,Not Successful
Fabricio Oberto,2008-09,12.537,Not Successful
Emeka Okafor,2011-12,28.926,Successful
Zaza Pachulia,2013-14,25,Successful
Milt Palacio,2004-05,19.163,Not Successful
Sasha Pavlovic,2008-09,15.955,Not Successful
Elfrid Payton,2019-20,27.689,Successful
Johan Petro,2006-07,18.642,Not Successful
Quincy Pondexter,2011-12,15.656,Not Successful
Leon Powe,2006-07,11.429,Not Successful
JJ Redick,2006-07,14.81,Not Successful
Bernard Robinson,2005-06,19.742,Not Successful
Clifford Robinson,2004-05,23.789,Not Successful
Sergio Rodriguez,2008-09,15.313,Not Successful
Quinton Ross,2004-05,21.269,Not Successful
Michael Ruffin,2005-06,13.289,Not Successful
John Salmons,2005-06,25.11,Successful
John Salmons,2013-14,22.128,Not Successful
Brian Scalabrine,2003-04,13.449,Not Successful
Kevin Seraphin,2014-15,15.633,Not Successful
Marko Jaric,2003-04,30.345,Successful
Iman Shumpert,2015-16,24.37,Successful
Ish Smith,2018-19,22.339,Not Successful
Jason Smith,2012-13,17.176,Not Successful
Darius Songaila,2007-08,19.425,Not Successful
Marreese Speights,2010-11,11.469,Not Successful
Tiago Splitter,2015-16,16.083,Not Successful
Greg Stiemsma,2012-13,15.908,Not Successful
Damon Stoudamire,2005-06,31.926,Successful
Jeff Teague,2010-11,13.757,Not Successful
Lance Thomas,2015-16,22.254,Not Successful
Tim Thomas,2007-08,30.794,Successful
Tim Thomas,2008-09,19.484,Not Successful
Klay Thompson,2011-12,24.364,Successful
Marcus Thornton,2015-16,18.18,Not Successful
Jacque Vaughn,2006-07,11.875,Not Successful
Jan Vesely,2011-12,18.912,Not Successful
Charlie Villanueva,2006-07,25.231,Successful
Charlie Villanueva,2007-08,24.066,Successful
Jake Voskuhl,2006-07,14.288,Not Successful
Moritz Wagner,2019-20,18.556,Not Successful
Jiri Welsch,2004-05,18.549,Not Successful
Damien Wilkins,2005-06,18.598,Not Successful
Reggie Williams,2009-10,32.583,Successful
DJ Wilson,2018-19,18.375,Not Successful
Julian Wright,2007-08,11.228,Not Successful
Nick Young,2017-18,17.413,Not Successful
Tyler Zeller,2015-16,11.833,Not Successful
Lavoy Allen,2011-12,15.22,Not Successful
Tony Allen,2008-09,19.283,Not Successful
Alan Anderson,2012-13,23,Not Successful
Derek Anderson,2005-06,24.349,Successful
Stacey Augmon,2003-04,20.522,Not Successful
Luke Babbitt,2014-15,13.175,Not Successful
Lonzo Ball,2018-19,30.277,Successful
Jerryd Bayless,2010-11,21.07,Not Successful
Kent Bazemore,2014-15,17.653,Not Successful
Michael Beasley,2013-14,15.109,Not Successful
Jordan Bell,2018-19,11.588,Not Successful
Andris Biedrins,2009-10,23.121,Not Successful
Miles Bridges,2019-20,30.692,Successful
Shannon Brown,2011-12,23.729,Not Successful
Rasual Butler,2003-04,15,Not Successful
Rodney Carney,2007-08,14.843,Not Successful
Daequan Cook,2010-11,13.907,Not Successful
Daequan Cook,2011-12,17.351,Not Successful
Quinn Cook,2017-18,22.424,Not Successful
Dante Cunningham,2014-15,25.03,Successful
Glen Davis,2009-10,17.278,Not Successful
Austin Daye,2012-13,12.291,Not Successful
Chris Douglas-Roberts,2010-11,20.091,Not Successful
Goran Dragic,2018-19,27.528,Successful
Francisco Elson,2004-05,14.015,Not Successful
Jeremy Evans,2010-11,9.449,Not Successful
Tyreke Evans,2010-11,36.965,Successful
Joel Freeland,2014-15,12.854,Not Successful
Francisco Garcia,2005-06,19.418,Not Successful
Harry Giles,2019-20,14.5,Not Successful
Stephen Graham,2009-10,11.486,Not Successful
Brian Grant,2004-05,16.464,Not Successful
Gerald Green,2006-07,21.975,Not Successful
Jordan Hamilton,2013-14,16.983,Not Successful
Al Harrington,2004-05,38.636,Successful
Devin Harris,2013-14,20.45,Not Successful
Andrew Harrison,2016-17,20.472,Not Successful
Chuck Hayes,2008-09,12.085,Not Successful
Alan Henderson,2006-07,11,Not Successful
Tyler Herro,2019-20,27.418,Successful
Grant Hill,2011-12,28.122,Successful
Eddie House,2005-06,17.543,Not Successful
Kevin Huerter,2019-20,31.429,Successful
Kris Humphries,2015-16,15.755,Not Successful
Kris Humphries,2016-17,12.304,Not Successful
Ersan Ilyasova,2013-14,26.873,Successful
Al Jefferson,2017-18,13.444,Not Successful
Fred Jones,2008-09,28.75,Successful
Solomon Jones,2006-07,11.483,Not Successful
Chris Kaman,2012-13,20.652,Not Successful
Rodions Kurucs,2018-19,20.54,Not Successful
Jeremy Lamb,2014-15,13.468,Not Successful
TJ Leaf,2018-19,9,Not Successful
Luc Mbah a Moute,2015-16,16.987,Not Successful
Rashad McCants,2005-06,17.241,Not Successful
Tracy McGrady,2011-12,16.096,Not Successful
Jordan McLaughlin,2019-20,19.667,Not Successful
Khris Middleton,2016-17,30.655,Successful
Darius Miller,2018-19,25.464,Successful
Mike Miller,2010-11,20.439,Not Successful
Markieff Morris,2018-19,21.897,Not Successful
Mike Muscala,2015-16,9.417,Not Successful
Sviatoslav Mykhailiuk,2019-20,22.589,Not Successful
Eduardo Najera,2004-05,17.426,Not Successful
Andrew Nicholson,2015-16,14.696,Not Successful
Lucas Nogueira,2017-18,8.531,Not Successful
Jusuf Nurkic,2014-15,17.79,Not Successful
Kyle O'Quinn,2014-15,16.157,Not Successful
Kyle O'Quinn,2015-16,11.754,Not Successful
Cedi Osman,2019-20,29.385,Successful
Jabari Parker,2019-20,24.132,Successful
Patrick Patterson,2011-12,23.172,Not Successful
Wesley Person,2004-05,16.268,Not Successful
Jakob Poeltl,2016-17,11.593,Not Successful
Bobby Portis,2018-19,25.98,Successful
Norman Powell,2015-16,14.796,Not Successful
Vladimir Radmanovic,2011-12,15.408,Not Successful
Julius Randle,2015-16,28.222,Successful
Anthony Randolph,2008-09,17.921,Not Successful
Glenn Robinson,2003-04,31.81,Successful
Thomas Robinson,2013-14,12.471,Not Successful
Rajon Rondo,2014-15,29.676,Successful
Quinton Ross,2005-06,22.612,Not Successful
John Salmons,2012-13,29.974,Successful
Larry Sanders,2014-15,21.704,Not Successful
Mike Scott,2018-19,17.658,Not Successful
Pascal Siakam,2016-17,15.618,Not Successful
Jason Smith,2010-11,14.312,Not Successful
Tony Snell,2013-14,15.987,Not Successful
Peja Stojakovic,2010-11,18.697,Not Successful
Marko Jaric,2006-07,22.214,Not Successful
Wally Szczerbiak,2003-04,22.214,Not Successful
Wally Szczerbiak,2006-07,28.125,Successful
Etan Thomas,2004-05,20.766,Not Successful
Jason Thompson,2015-16,10.021,Not Successful
Al Thornton,2010-11,19.479,Not Successful
Ekpe Udoh,2018-19,6.275,Not Successful
Nick Van Exel,2004-05,30.547,Successful
Jacque Vaughn,2007-08,15.392,Not Successful
Jan Vesely,2013-14,14.37,Not Successful
Charlie Villanueva,2012-13,15.826,Not Successful
Noah Vonleh,2017-18,16.204,Not Successful
Dion Waiters,2013-14,29.6,Successful
Dion Waiters,2016-17,30.087,Successful
Luke Walton,2003-04,10.139,Not Successful
Aaron Williams,2005-06,16.479,Not Successful
Grant Williams,2019-20,15.116,Not Successful
Brandan Wright,2016-17,15.964,Not Successful
Dorell Wright,2014-15,12.333,Not Successful
Quincy Acy,2013-14,13.444,Not Successful
Lavoy Allen,2013-14,16.492,Not Successful
Kenny Anderson,2003-04,20.568,Not Successful
Pero Antic,2014-15,16.46,Not Successful
Hilton Armstrong,2008-09,15.6,Not Successful
Leandro Barbosa,2010-11,24.052,Successful
Brent Barry,2008-09,15.304,Not Successful
Lonny Baxter,2003-04,12.355,Not Successful
Nemanja Bjelica,2016-17,18.308,Not Successful
Tarik Black,2017-18,10.51,Not Successful
Ryan Bowen,2007-08,12.453,Not Successful
Avery Bradley,2019-20,24.204,Successful
Bruce Brown,2018-19,19.581,Not Successful
Jaylen Brown,2016-17,17.192,Not Successful
Alec Burks,2011-12,15.915,Not Successful
Alec Burks,2015-16,25.71,Successful
Alec Burks,2018-19,21.484,Not Successful
Will Bynum,2010-11,18.443,Not Successful
Bruno Caboclo,2018-19,23.529,Not Successful
Nick Calathes,2013-14,16.521,Not Successful
Rodney Carney,2008-09,17.896,Not Successful
Rodney Carney,2009-10,12.603,Not Successful
Wilson Chandler,2018-19,23.078,Not Successful
Jae Crowder,2012-13,17.346,Not Successful
Antonio Daniels,2008-09,13.797,Not Successful
Dan Dickau,2007-08,15.522,Not Successful
Ike Diogu,2006-07,12.881,Not Successful
Keyon Dooling,2004-05,16,Not Successful
Damyean Dotson,2018-19,27.452,Successful
Mike Dunleavy,2016-17,15.868,Not Successful
Reggie Evans,2013-14,16.648,Not Successful
Festus Ezeli,2012-13,14.359,Not Successful
Bryn Forbes,2019-20,25.063,Successful
Richie Frahm,2003-04,8.685,Not Successful
Channing Frye,2017-18,13.113,Not Successful
Mickael Gelabale,2012-13,17.889,Not Successful
Anthony Goldwire,2004-05,16.273,Not Successful
Donte Greene,2009-10,21.447,Not Successful
Eddie Griffin,2005-06,19.414,Not Successful
Justin Hamilton,2014-15,17.366,Not Successful
Devin Harris,2018-19,15.75,Not Successful
David Harrison,2005-06,15.433,Not Successful
Shaquille Harrison,2019-20,11.256,Not Successful
Jason Hart,2006-07,23.5,Not Successful
Chuck Hayes,2012-13,16.338,Not Successful
Jarvis Hayes,2006-07,20.074,Not Successful
JJ Hickson,2008-09,11.371,Not Successful
JJ Hickson,2010-11,28.2,Successful
Jrue Holiday,2013-14,33.618,Successful
Richaun Holmes,2015-16,13.765,Not Successful
Kevin Huerter,2018-19,27.307,Successful
Kris Humphries,2006-07,11.167,Not Successful
Brandon Jennings,2015-16,18.083,Not Successful
James Johnson,2018-19,21.164,Not Successful
Orlando Johnson,2012-13,12.137,Not Successful
Damian Jones,2018-19,17.083,Not Successful
James Jones,2014-15,11.737,Not Successful
Perry Jones,2013-14,12.323,Not Successful
Terrence Jones,2015-16,20.88,Not Successful
Tyus Jones,2016-17,12.9,Not Successful
DeAndre Jordan,2009-10,16.243,Not Successful
Linas Kleiza,2011-12,21.571,Not Successful
Toni Kukoc,2004-05,20.736,Not Successful
Joffrey Lauvergne,2016-17,14,Not Successful
Caris LeVert,2019-20,29.556,Successful
Robin Lopez,2010-11,14.791,Not Successful
Robin Lopez,2019-20,14.515,Not Successful
Thon Maker,2017-18,16.73,Not Successful
Thon Maker,2019-20,12.933,Not Successful
Boban Marjanovic,2017-18,8.641,Not Successful
Desmond Mason,2007-08,28.847,Successful
Eric Maynor,2010-11,14.634,Not Successful
Dominic McGuire,2011-12,17.609,Not Successful
Josh McRoberts,2009-10,12.476,Not Successful
CJ Miles,2011-12,20.446,Not Successful
Patty Mills,2012-13,11.31,Not Successful
Markieff Morris,2011-12,19.476,Not Successful
Cedi Osman,2018-19,32.158,Successful
Anthony Parker,2010-11,29.042,Successful
Elfrid Payton,2018-19,29.762,Successful
Mickael Pietrus,2003-04,14.113,Not Successful
Bobby Portis,2015-16,17.774,Not Successful
Pablo Prigioni,2015-16,13.949,Not Successful
Tayshaun Prince,2013-14,25.632,Successful
Anthony Randolph,2009-10,22.697,Not Successful
Zach Randolph,2017-18,25.559,Successful
Willie Reed,2017-18,10.19,Not Successful
Austin Rivers,2014-15,20.566,Not Successful
Nate Robinson,2005-06,21.444,Not Successful
Thomas Robinson,2014-15,14.778,Not Successful
Jalen Rose,2003-04,37.833,Successful
Kareem Rush,2003-04,17.278,Not Successful
Thabo Sefolosha,2007-08,20.812,Not Successful
Thabo Sefolosha,2018-19,12.18,Not Successful
Iman Shumpert,2014-15,24.919,Successful
Chris Singleton,2011-12,21.682,Not Successful
Craig Smith,2010-11,12.208,Not Successful
Jason Smith,2007-08,14.566,Not Successful
DeShawn Stevenson,2003-04,30.55,Successful
DeShawn Stevenson,2012-13,20.679,Not Successful
Ian Mahinmi,2019-20,21.263,Not Successful
Greg Stiemsma,2013-14,18.309,Not Successful
Garrett Temple,2014-15,14.135,Not Successful
Jason Terry,2015-16,17.472,Not Successful
Ronny Turiaf,2013-14,19.548,Not Successful
Jacque Vaughn,2005-06,15.425,Not Successful
Taurean Prince,2018-19,28.218,Successful
Martell Webster,2011-12,24.255,Successful
Damien Wilkins,2010-11,13,Not Successful
Corliss Williamson,2006-07,19.662,Not Successful
Arron Afflalo,2016-17,25.902,Successful
Furkan Aldemir,2014-15,13.171,Not Successful
Al-Farouq Aminu,2011-12,22.379,Not Successful
Pero Antic,2013-14,18.5,Not Successful
Ryan Arcidiacono,2019-20,16.034,Not Successful
Andrea Bargnani,2007-08,23.859,Not Successful
Bismack Biyombo,2012-13,27.325,Successful
Andray Blatche,2008-09,23.986,Not Successful
Keith Bogans,2012-13,19.027,Not Successful
Jonah Bolden,2018-19,14.523,Not Successful
Aaron Brooks,2007-08,11.922,Not Successful
Devin Brown,2005-06,21.123,Not Successful
Chase Budinger,2015-16,14.076,Not Successful
Isaiah Canaan,2014-15,19.957,Not Successful
Isaiah Canaan,2015-16,25.532,Successful
Josh Childress,2010-11,16.556,Not Successful
Norris Cole,2014-15,24.413,Successful
Seth Curry,2015-16,15.727,Not Successful
Troy Daniels,2017-18,20.532,Not Successful
Glen Davis,2014-15,12.216,Not Successful
DeSagana Diop,2008-09,13.813,Not Successful
Juan Dixon,2003-04,20.817,Not Successful
Semih Erden,2010-11,14.512,Not Successful
Tyreke Evans,2015-16,30.6,Successful
Cristiano Felicio,2018-19,12.433,Not Successful
Dorian Finney-Smith,2016-17,20.272,Not Successful
TJ Ford,2009-10,25.298,Successful
Evan Fournier,2013-14,19.776,Not Successful
Tim Frazier,2017-18,14.203,Not Successful
Joel Freeland,2013-14,13.981,Not Successful
Langston Galloway,2017-18,14.879,Not Successful
Drew Gooden,2013-14,17.955,Not Successful
Marcin Gortat,2018-19,15.979,Not Successful
Aaron Gray,2011-12,16.592,Not Successful
Richard Hamilton,2009-10,33.739,Successful
Josh Harrellson,2011-12,14.595,Not Successful
David Harrison,2004-05,17.674,Not Successful
Shaquille Harrison,2018-19,19.589,Not Successful
Udonis Haslem,2014-15,16.048,Not Successful
Chuck Hayes,2013-14,12.361,Not Successful
John Henson,2019-20,15,Not Successful
Nene Hilario,2018-19,13,Not Successful
Jordan Hill,2009-10,13.277,Not Successful
Jordan Hill,2011-12,14.128,Not Successful
Jordan Hill,2012-13,15.793,Not Successful
Solomon Hill,2019-20,18.441,Not Successful
Lindsey Hunter,2004-05,15.053,Not Successful
Bobby Jackson,2004-05,21.44,Not Successful
Jonas Jerebko,2013-14,11.578,Not Successful
Chris Johnson,2013-14,19.725,Not Successful
Frank Kaminsky,2019-20,19.923,Not Successful
Sean Kilpatrick,2016-17,25.057,Successful
Luke Kornet,2018-19,17.043,Not Successful
Skal Labissiere,2017-18,20.667,Not Successful
Skal Labissiere,2019-20,17.182,Not Successful
Shane Larkin,2015-16,22.449,Not Successful
Shane Larkin,2017-18,14.352,Not Successful
Meyers Leonard,2016-17,16.514,Not Successful
Jon Leuer,2011-12,12.065,Not Successful
Kevon Looney,2016-17,8.434,Not Successful
Raul Lopez,2003-04,19.72,Not Successful
Shelvin Mack,2016-17,21.909,Not Successful
Ian Mahinmi,2016-17,17.903,Not Successful
Roger Mason,2012-13,17.667,Not Successful
Jason Maxiell,2014-15,14.393,Not Successful
Ray McCallum,2014-15,21.118,Not Successful
Patrick McCaw,2019-20,24.541,Successful
Josh McRoberts,2011-12,14.36,Not Successful
Oliver Miller,2003-04,10.542,Not Successful
Patty Mills,2014-15,15.706,Not Successful
Markieff Morris,2019-20,20.466,Not Successful
Donatas Motiejunas,2013-14,15.355,Not Successful
Juan Carlos Navarro,2007-08,25.817,Successful
Gary Neal,2015-16,20.175,Not Successful
Jameer Nelson,2014-15,22.333,Not Successful
Steve Novak,2013-14,10,Not Successful
David Nwaba,2018-19,19.294,Not Successful
Kyle O'Quinn,2012-13,11.193,Not Successful
Travis Outlaw,2004-05,13.441,Not Successful
Travis Outlaw,2013-14,16.905,Not Successful
Anthony Parker,2011-12,25.098,Successful
Jabari Parker,2018-19,26.938,Successful
Tony Parker,2017-18,19.473,Not Successful
Cameron Payne,2015-16,12.246,Not Successful
Kendrick Perkins,2006-07,21.889,Not Successful
Scot Pollard,2003-04,11.115,Not Successful
Ronnie Price,2015-16,19.532,Not Successful
Joel Przybilla,2009-10,22.7,Not Successful
Theo Ratliff,2008-09,12.587,Not Successful
Theo Ratliff,2009-10,16.469,Not Successful
Jason Richardson,2012-13,28.364,Successful
Rajon Rondo,2019-20,20.5,Not Successful
Terry Rozier,2016-17,17.068,Not Successful
Robert Sacre,2013-14,16.754,Not Successful
John Salmons,2004-05,17.121,Not Successful
Brian Scalabrine,2004-05,21.611,Not Successful
Iman Shumpert,2018-19,23.887,Not Successful
JR Smith,2017-18,28.05,Successful
Kirk Snyder,2006-07,14.436,Not Successful
Nik Stauskas,2016-17,27.35,Successful
Mike Sweetney,2003-04,11.762,Not Successful
Stromile Swift,2007-08,15.071,Not Successful
Milos Teodosic,2017-18,25.2,Successful
Ronny Turiaf,2009-10,20.762,Not Successful
Evan Turner,2013-14,30.333,Successful
Beno Udrih,2011-12,18.305,Not Successful
Nick Van Exel,2005-06,15.169,Not Successful
Charlie Villanueva,2014-15,10.594,Not Successful
Sasha Vujacic,2009-10,8.582,Not Successful
Ben Wallace,2011-12,15.806,Not Successful
Shawne Williams,2007-08,14.877,Not Successful
Antoine Wright,2008-09,23.877,Not Successful
Nick Young,2009-10,19.203,Not Successful
Cole Aldrich,2016-17,8.565,Not Successful
Chris Andersen,2005-06,17.813,Not Successful
Chris Andersen,2015-16,14.889,Not Successful
David Andersen,2009-10,14.143,Not Successful
Derek Anderson,2004-05,26.362,Successful
Carmelo Anthony,2019-20,32.793,Successful
Carlos Arroyo,2004-05,20.686,Not Successful
Jeff Ayres,2009-10,10.385,Not Successful
Renaldo Balkman,2007-08,14.646,Not Successful
JJ Barea,2016-17,22.029,Not Successful
Will Barton,2014-15,16.948,Not Successful
Charlie Bell,2007-08,23.941,Not Successful
Andris Biedrins,2011-12,15.723,Not Successful
Chauncey Billups,2012-13,19,Not Successful
Keith Bogans,2003-04,24.479,Successful
MarShon Brooks,2012-13,12.493,Not Successful
Derrick Brown,2009-10,9.386,Not Successful
Chase Budinger,2014-15,19.194,Not Successful
Trey Burke,2019-20,15.758,Not Successful
Rasual Butler,2015-16,9.391,Not Successful
Will Bynum,2008-09,14.088,Not Successful
Zarko Cabarkapa,2004-05,11.875,Not Successful
Rodney Carney,2006-07,17.448,Not Successful
Michael Carter-Williams,2013-14,34.486,Successful
Omri Casspi,2018-19,14.444,Not Successful
Jarron Collins,2006-07,11.134,Not Successful
Allen Crabbe,2014-15,13.392,Not Successful
Jamal Crawford,2017-18,20.663,Not Successful
Austin Croshere,2006-07,11.918,Not Successful
Marquis Daniels,2008-09,31.481,Successful
Marquis Daniels,2009-10,18.373,Not Successful
Troy Daniels,2016-17,17.657,Not Successful
Dale Davis,2006-07,10.087,Not Successful
Austin Daye,2009-10,13.261,Not Successful
Nando De Colo,2012-13,12.778,Not Successful
Cheick Diallo,2019-20,10.191,Not Successful
Chris Duhon,2011-12,19.46,Not Successful
Monta Ellis,2009-10,41.359,Successful
Jeremy Evans,2014-15,7,Not Successful
Reggie Evans,2010-11,26.6,Successful
Reggie Evans,2011-12,13.768,Not Successful
Kenneth Faried,2017-18,14.406,Not Successful
Adonal Foyle,2007-08,9.439,Not Successful
Langston Galloway,2014-15,32.378,Successful
Langston Galloway,2016-17,20.203,Not Successful
Francisco Garcia,2012-13,17.741,Not Successful
Mickael Gelabale,2006-07,17.7,Not Successful
Devean George,2009-10,16.911,Not Successful
Joey Graham,2005-06,19.763,Not Successful
Danny Granger,2013-14,20.659,Not Successful
Aaron Gray,2008-09,12.768,Not Successful
Gerald Green,2012-13,18,Not Successful
Adrian Griffin,2004-05,9.667,Not Successful
Adrian Griffin,2006-07,10.833,Not Successful
Richard Hamilton,2011-12,24.893,Successful
Lucious Harris,2004-05,15.452,Not Successful
Alan Henderson,2005-06,10.412,Not Successful
Buddy Hield,2016-17,23.024,Not Successful
Justin Holiday,2014-15,11.136,Not Successful
